"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Andrew Cashner","Orioles","7.06","4.01","1.76","1.43","17.7 %","10.1 %","7.7 %",".280","1.56",".315","77.2 %","105","116","116","4.39","4.98","-0.59","4.78","4.91","8782"
"Cole Hamels","Rangers","9.15","3.25","2.81","1.76","23.6 %","8.4 %","15.2 %",".244","1.30",".281","79.1 %","93","118","97","4.05","5.00","-0.95","4.01","3.96","4972"
"Chad Bettis","Rockies","6.51","3.59","1.82","1.42","16.9 %","9.3 %","7.6 %",".259","1.40",".283","71.6 %","109","117","112","5.10","5.03","0.07","4.51","4.73","10587"
"Sal Romano","Reds","6.92","3.60","1.92","1.61","17.3 %","9.0 %","8.3 %",".268","1.47",".292","70.2 %","133","125","111","5.40","5.16","0.24","4.49","4.71","13690"
"Julio Teheran","Braves","8.45","4.37","1.93","1.65","22.5 %","11.6 %","10.9 %",".207","1.24",".226","76.7 %","111","130","116","4.47","5.20","-0.74","4.67","4.59","6797"
"Chase Anderson","Brewers","6.94","3.42","2.03","1.62","19.3 %","9.5 %","9.8 %",".202","1.10",".207","77.7 %","97","126","120","3.99","5.23","-1.24","4.85","4.74","6895"
"Bartolo Colon","Rangers","5.27","1.34","3.93","1.97","14.2 %","3.6 %","10.6 %",".258","1.17",".255","75.1 %","107","125","103","4.65","5.29","-0.64","4.28","4.47","375"
"Danny Duffy","Royals","7.69","4.29","1.79","1.70","19.2 %","10.7 %","8.5 %",".259","1.50",".288","73.8 %","123","133","126","5.19","5.38","-0.19","5.22","4.95","3542"
"Jakob Junis","Royals","8.14","2.48","3.29","2.12","20.9 %","6.4 %","14.5 %",".255","1.29",".274","76.1 %","122","135","109","5.13","5.46","-0.33","4.52","4.13","13619"
"Lucas Giolito","White Sox","5.42","5.42","1.00","1.61","13.0 %","13.0 %","0.0 %",".260","1.62",".268","63.4 %","169","151","155","6.93","6.37","0.56","6.40","6.02","15474"
